id,type,namespace,title,comment,timestamp,user,bot,minor,revision,wiki,parsedcomment,length_old,length_new,len_diff,time_delta,time_delta_sec
2010137113.0,edit,0,2026 Rally Islas Canarias,expand with ref,2026-03-27 11:00:33,Unnamelessness,False,0.0,"{'old': 1345662796, 'new': 1345663073}",enwiki,expand with ref,4992,5644,652,0 days 00:02:21,141.0
2010138293.0,edit,0,2026 Sportbike World Championship,/* Entry list */,2026-03-27 11:08:27,~2026-19085-51,False,0.0,"{'old': 1345656673, 'new': 1345663714}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_Sportbike_World_Championship#Entry_list"" title=""2026 Sportbike World Championship"">→<bdi dir=""ltr"">Entry list</bdi></a></span>",14802,14803,1,,0.0
2010138345.0,edit,0,2026 UEFA Women's Under-17 Championship,/* External links */,2026-03-27 11:08:36,~2026-17812-29,False,0.0,"{'old': 1345380663, 'new': 1345663740}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_UEFA_Women%27s_Under-17_Championship#External_links"" title=""2026 UEFA Women&#039;s Under-17 Championship"">→<bdi dir=""ltr"">External links</bdi></a></span>",11874,11854,-20,,0.0
2010138593.0,edit,0,2026 UEFA Women's Under-17 Championship,/* Group B */,2026-03-27 11:09:39,~2026-17812-29,False,0.0,"{'old': 1345663740, 'new': 1345663850}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_UEFA_Women%27s_Under-17_Championship#Group_B"" title=""2026 UEFA Women&#039;s Under-17 Championship"">→<bdi dir=""ltr"">Group B</bdi></a></span>",11854,11854,0,0 days 00:01:03,63.0
2010137392.0,edit,0,2026 Yokkaichi Challenger,/* Singles */,2026-03-27 11:02:07,Adamtt9,False,0.0,"{'old': 1344913102, 'new': 1345663225}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_Yokkaichi_Challenger#Singles"" title=""2026 Yokkaichi Challenger"">→<bdi dir=""ltr"">Singles</bdi></a></span>",2807,2810,3,,0.0
2010137811.0,edit,0,2026 Yokkaichi Challenger,/* Doubles */,2026-03-27 11:05:20,Adamtt9,False,0.0,"{'old': 1345663225, 'new': 1345663465}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_Yokkaichi_Challenger#Doubles"" title=""2026 Yokkaichi Challenger"">→<bdi dir=""ltr"">Doubles</bdi></a></span>",2810,2897,87,0 days 00:03:13,193.0
2010137361.0,edit,0,2026 Yokkaichi Challenger – Singles,/* Finals */,2026-03-27 11:01:51,Adamtt9,False,0.0,"{'old': 1345633798, 'new': 1345663213}",enwiki,"<span class=""autocomment""><a href=""/wiki/2026_Yokkaichi_Challenger_%E2%80%93_Singles#Finals"" title=""2026 Yokkaichi Challenger – Singles"">→<bdi dir=""ltr"">Finals</bdi></a></span>",10470,10465,-5,,0.0
2010135044.0,edit,0,2030 Commonwealth Games,/* Development and preparations */,2026-03-27 10:57:23,Rushtheeditor,False,0.0,"{'old': 1345638741, 'new': 1345662711}",enwiki,"<span class=""autocomment""><a href=""/wiki/2030_Commonwealth_Games#Development_and_preparations"" title=""2030 Commonwealth Games"">→<bdi dir=""ltr"">Development and preparations</bdi></a></span>",41020,41312,292,,0.0
2010137225.0,new,0,333172 Danielellis,#REDIRECT [[List of minor planets: 333001–334000#172]],2026-03-27 11:01:10,Tom.Reding,False,0.0,{'new': 1345663147},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#172"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#172</a>",0,239,239,,0.0
2010137244.0,new,0,333175 Jaen,#REDIRECT [[List of minor planets: 333001–334000#175]],2026-03-27 11:01:13,Tom.Reding,False,0.0,{'new': 1345663154},enwiki,"#REDIRECT <a href=""/wiki/List_of_minor_planets:_333001%E2%80%93334000#175"" title=""List of minor planets: 333001–334000"">List of minor planets: 333001–334000#175</a>",0,252,252,,0.0
